21759,2021-04-17 12:43:07,stefanoscoglio,nessuno sembra aver notato il vaccino astrazeneca e stato sospeso perche causa trombi come tutti i vaccini le morti covid sono state per tromboembolie polmonari e sono avvenute nelle zone a piu alta vaccinazione come bergamo e brescia se 2 2 facesse ancora 4 ,848,0
23998,2021-04-13 13:50:56,antonellaviol17,l fda sospende in via precauzionale il vaccino j amp j a causa di 6 eventi di trombosi in donne giovani anche ema sta rivalutando i dati a disposizione per il vaccino j amp j speriamo davvero che almeno in questo caso ci si muova tutti in maniera coordinata ,820,2
26721,2021-04-07 22:07:16,cartabellotta,il concetto di indicazione preferenziale non esiste per farmaci e vaccini esistono indicazioni controindicazioni assolute e relative profilo benefici rischi da discutere con la persona per una scelta informata astrazeneca vaccino,777
27493,2021-04-07 09:22:49,pupi18054216,persona che lavora con dentista non vuole farsi vaccino la sua conoscente e morta in ospedale di trombosi arrivata circolare che la obbliga a ferie forzate se non lo fa e disperata questa e una dittatura poche storie ,758,0
26488,2021-04-08 09:30:12,laviniablr,stanno testando vaccini su tutta la popolazione e vanno a tentativi prima va bene una fascia d eta poi no meglio evitare e ne provano un altra poi fanno un vaccino a due dosi no meglio una no facciamo mezza no dai facciamo un mix come un cocktail al bar vanno alla cieca ,735,0
25939,2021-04-08 22:08:38,lforesti,casi trombosi dopo vaccino az 86 25 000 000 0 000344 decessi trombosi dopo vaccino az 18 25 000 000 0 000072 casi covid italia 3 717 602 60 000 000 6 195 decessi covid italia 112 861 60 000 000 0 186 ,669
22464,2021-04-15 12:53:00,barbarab1974, il documento integrale astrazeneca scrive a tutti i medici italiani prima e dopo la somministrazione della dose serve farmaco vigilanza e vaccino vigilanza su rischio trombosi la causa e una reazione auto anticorpale il nesso c e come era ovvio ,562
27290,2021-04-07 14:13:44,ilgatt0pardo,astrazeneca crisanti trombosi aereo 100 volte piu rischioso va bene d accordo ma se posso scegliere fra un vaccino con un minimo rischio di trombosi e altri tre che non ne hanno per quale stracazzo di ragione devo scegliere il primo ,552
20089,2021-04-24 23:15:34,pakywood, amo se non te ne sei accorta i vaccini che avanzano ce li avete solo voi qua manco gli ottantenni abbiamo finito di vaccinare se parte un vaccino per l estero mi incateno davanti a palazzo chigi ,523
20874,2021-04-20 22:46:34,dsllorenzo,moderna ha rinunciato ai diritti di esclusiva e di sfruttamento economico del vaccino per il covid nessuno ne ha approfittato ricordatelo quando leggerete dell appello per l abrogazione dei brevetti sui vaccini come soluzione alla penuria di dosi,515
20555,2021-04-22 10:39:14,trinacria_10,scudo penale per chi produce i vaccini scudo penale per chi innietta i vaccini modulo di consenso per chi riceve il vaccino dubbi ,504,2
25807,2021-04-09 09:36:13,ottogattotto,individuata la causa delle trombosi nel vaccino astrazeneca astrazeneca   2EUR dose pfizerbiontech 15EUR dose,494,2
21931,2021-04-16 18:34:56,cartabellotta,2a dose con altro vaccino dopo astrazeneca non ci sono dati sulla intercambiabilita dei vaccini fonti aifa ema oms,466,2
27682,2021-04-06 20:56:09,avvbenedetto,aprite la schermata a questo momento dal sito ufficiale del governo italiano ci sono quasi 3 milioni di dosi di vaccino nei frigoriferi il primo che dice che non ci sono i vaccini lo querelo ,446,2
25300,2021-04-10 10:00:17,heather_parisi,gennaio i vaccini sono sicuri al 100 febbraio non e dimostrata correlazione marzo i benefici sono superiori ai rischi aprile funzionicchiano e amazzicchiano settembre pronto il vaccino contro i vaccini covid19 enoughisenough,424,1
25318,2021-04-10 09:20:01,lucianocapone, io ho capito che abbiamo bisogno di produrre vaccini ma quello lo avevo da tempo non ho capito perche anziche produrre vaccini approvati ed efficaci avremmo bisogno di produrre il vaccino reithera ,419
25953,2021-04-08 21:48:55,marcellolyotard,col vaccino devi ripetere la vaccinazione ogni anno e stare in emergenza finche non vaccini 60 milioni di persone con le cure curi chi e malato e gli altri vivono liberi se vogliamo uscirne davvero il vaccino non e la soluzione cosa non e chiaro ,414,0
22061,2021-04-16 12:05:03,imolaoggi,vaccini barbara palombelli in questa situazione noi siamo delle cavie sul nostro corpo si sta sperimentando un vaccino che sarebbe stato pronto tra tre anni ,410
22265,2021-04-15 20:24:23,riotta,vaccino j amp j rischio trombosi 0 00001 pillola anticoncezionale 0 5 covid 19 16 vaccinatevi,408
28811,2021-04-04 13:26:34,radiosavana,genova insegnante 32enne muore per trombosi dopo vaccino astrazeneca era in ottima salute prima del vaccino nessuna correlazione lo dice la scienza ,393
19305,2021-04-29 23:07:34,ortigiap,il vaccino sperimentale lo sono tutti fino al 2023 puo essere autorizzato solo se non esistono cure alternative se esistono valide cure il comitato deve revocare l autorizzazione speranza ha impugnato la sentenza perche con la cura saltano i vaccini ,386
20099,2021-04-24 22:34:09,extracarolas,selena non e venuta a rompere all italia perche vuole i vaccini ma ha taggato i ministri di tutto il mondo per far si che le dosi vengano distribuite equamente vi ricordo che qui ogni sera vengono buttate dosi di vaccino perche appartenenti a scatole aperte ,382
23581,2021-04-13 18:49:45,cartabellotta,vaccino johnsonandjohnson 6 casi trombosi piastrinopenia su 6 8 mln dosi somministrate tutte in donne tra 18 e 48 anni sospesa in via precauzionale vaccinazione in usa ema ha gia avviato revisione casitrombosi azienda ha deciso di ritardare distribuzione in europa,377
26311,2021-04-08 12:18:08,mr_ozymandias,non faccio statistica e non sono un matematico pero nel mio paesello circa 4500 abitanti la farmacista ha avuto una trombosi dopo il vaccino due insegnante delle elementari e stata ricoverata in ospedale dopo il vaccino non proprio rare queste reazioni avverse ,372,0
23194,2021-04-14 08:38:48,astramezzi,bolgan ieri conferma cio che ho scritto sulle trombocitopenie comuni a tutti i vaccini eventi avversi legati alla scelta di utilizzare la spike e al meccanismo della tempesta citochinica non alla marca del vaccino arriva un pugno diretto allo stomaco ,362,2
24326,2021-04-12 14:08:52,ministerosalute,come avviene la sperimentazione dei vaccini anti covid19 test clinici valutazione della risposta immunitaria approvazione farmacovigilanza continua anche dopo l autorizzazione il prof rezza ci spiega la strada per il vaccino ,357
20948,2021-04-20 18:50:35,felice_chi,comunque e piu probabile che tu muoia in un incidente stradale per non aver messo la freccia che di trombosi dopo aver fatto il vaccino per cui metti sta cazzo di freccia,353
24839,2021-04-11 11:08:00,cartabellotta,copertura vaccinale fascia 70 79 anni ciclo completo 2 5 solo 1a dose vaccino 17 7 enormi differenze regionali vaccini ,341
28817,2021-04-04 13:03:41,manuq24916888,in serbia hanno comprato 15 milioni di vaccini per 6 milioni di anime se ne sono vaccinate 15 000 e non c e verso di farne di piu vucic sta offrendo agli europei vacanze con vaccino incluso altrimenti gli tocca regalarli a tutti i balcani dove nessuno ovviamente li vuole,317
22078,2021-04-16 10:59:36,robertoburioni, la variante sudafricana pare bloccata dalla immunita indotta dai vaccini a mrna non cosi dal vaccino az usato ampiamente con uk ,317
20335,2021-04-23 12:27:57,minervamcgrani1,nel 2017 a seguito della finta pandemia di morbillo imposero 10 vaccini ai bimbi da 0 a 16 anni oggi a seguito della psicopandemia influenzale chiamata covid imporranno il vaccino a tutta la popolazione italiana avete capito vero che diverra obbligatorio per tutti ,307
26231,2021-04-08 14:06:55,vlavivlava,mia nonna 78enne non vuole fare il vaccino perche la trombosi viene ai giovani e non vuole accettare il fatto che giovane non lo sia piu,301,0
19924,2021-04-26 09:45:38,nellina38303549, il vero rischio dei vaccini sono le reazioni a medio e lungo termine per l attivazione di geni oncogeni o legati a malattie autoimmuni un vaccino che offre una dubbia protezione verso una malattia a modestissimo tasso di letalita vale il rischio di un cancro fra qualche anno ,297,0
22060,2021-04-16 12:05:45,ambrosinosalva3, con il vaccino sputnik v nessun caso di trombosi da mosca lo schiaffo a astrazeneca j amp j e alla ue,291
25636,2021-04-09 14:41:39,cosimoamato_,vaccino johnson amp johnson l ema avvia un indagine dopo 4 casi di trombosi io me ne vado in montagna a vivere d erba e acqua aspettando la fine del mondo ,290
26540,2021-04-08 08:30:25,25o319,vedrete che fra non molto faranno passare i morti a causa del vaccino per morti per covid con relativo ci vogliono piu vaccini  un loop perfetto ,289,0
20167,2021-04-24 11:29:20,bluefidel47,vegani sono curioso di sapere cosa ne pensano i vegani della sperimentazione sugli uomini farmaci vaccini e condannano quella sugli animali cosa ne pensano di questo vaccino con cellule di feti abortiti e sistanze animali non si vaccinano cosa ne pensano degli aborti,287
20375,2021-04-23 07:09:38,bluefidel47,vaccino covid e cancro durante la ricerca sui vaccini a mrna gli animali da laboratorio hanno sviluppato cancro e malattie autoimmuni cio non e accaduto immediatamente ma dopo sei nove o 12 mesi ha detto il dottor cole ,280
22720,2021-04-14 20:12:29,cartabellotta,l incidenza delle trombosi piastrinopenia collegate al vaccino astrazeneca e circa 1 170 000 le reazioni avverse molto rare sono definite da un incidenza inferiore a 1 10 000 il consenso informato e stato cosi aggiornato ,279
20391,2021-04-22 23:40:18,hania243474887,si somministrano poi non vaccini in tempo di pandemia cosi inevitabile si creano le varianti albert sabin l inventore del vaccino contro la poliomielite diceva non ha senso vaccinare contro i virus mutanti perche vaccinando si stimola la mutazione ,275
26751,2021-04-07 21:41:06,andreadallu,visto che sono settimane dove si parla solo di vaccini e di obbligovaccinale vi riporto i morti under 60 dopo aver ricevuto il vaccino usciti sulla stampa nazionale nessunacorrelazione astrazeneca pfizer moderna draghi speranza vaccino vaccinocovid burioni ,270
21786,2021-04-17 11:06:23,mr_ozymandias,possiamo calcolare cortesemente i benefici e i rischi per una giovane 26 enne tra incappare nel virus del covid 19 e quello di una trombosi indotta dal vaccino che dovrebbe prevenirlo ,266
24150,2021-04-12 23:55:00,davidpuente,secondo quanto riportato da il vaccino sputnik v sarebbe stato somministrato a delle persone prima dei test quando era pronto prima di tutti gli altri dicono ok mi domando dove siano tutti i critici che accusano gli altri vaccini per i tempi troppo veloci ,264
28276,2021-04-05 20:01:11,minervamcgrani1,signori e signore ben venuti nel mondo delle reazioni avverse quando ci indignavamo per quello che succedeva ai bambini ci chiamavate novax e che nessuno osi dire che i vaccini pediatrici sono sicuri a differenza di questo vaccino sperimentale altrimenti lo sbrano ,262
27411,2021-04-07 11:10:20,imolaoggi,neolingua orwelliana morti dopo il vaccino eventi rarissimi di trombosi compleanno in famiglia festa clandestina passeggiata con amici assembramento vietato,261
20146,2021-04-24 14:36:11,giorgiogilestro,la ricerca dietro il vaccino az e cruciale anche perche ha aperto la strada a tanti vaccini simili jj sputnik etc chi ha finanziato la ricerca del vaccino az governi e charities al 100 il privato subentra solitamente dopo quando c e odore di profitto e poco rischio 1 2 ,258
24793,2021-04-11 12:50:18,alfiokrancic,per il progetto di depopolamento previsto dal grande reset faranno cosi oltre ai vaccini che cominceranno ad avere effetti avversi entro 10anni parole loro daranno la colpa alle varianti loro vaccineranno ma ci sara sempre una variante che freghera il vaccino e cosi via ,256
27902,2021-04-06 14:58:39,robertoburioni, sinceramente mi sembra un discorso prematuro i vaccini a mrna sembrano essere molto efficaci anche nel prevenire la trasmissione se questo dato venisse confermato e non emergessero varianti che al momento non ci sono resistenti al vaccino non vedo il problema ,255
27950,2021-04-06 13:59:06,leonard13___,non possono obbligarvi a un vaccino genico sperimentale perche dovrebbero prima abolire codice di norimberga convenzione di oviedo art 32 costituzione art 629 codice penale dichiarazione universale dei diritti umani speranzadimettiti vaccinazioni vaccini,249
27311,2021-04-07 13:50:40,triolo_antonio,prof mannucci ematologo consulente aifa sulle trombosi r associazione temporale indubitabile con il vaccino d sotto i 40 anni ho scarsissime possibilita di contrarre il covid e morire perche dovrei fare astrazeneca r e un ragionamento che trovo assolutamente valido ,248
24025,2021-04-13 13:30:28,fqlive,ultimora usa la fda raccomanda la sospensione del vaccino johnson amp johnson dopo 6 casi di trombosi,244
23884,2021-04-13 15:04:08,jimmomo,insomma pare di capire che anche il vaccino johnson amp johnson ce lo siamo giocato proprio nel giorno in cui le prime dosi arrivano in italia e niente i vaccini monodose o quasi e piu economici proprio non piacciono ,239
28627,2021-04-04 22:22:36,m_dellorto, mia madre cattolica fondamentalista non vuole che mio padre 79 anni faccia il vaccino perche contiene cellule di un aborto le ho ricordato che la pontificia accademia delle scienze ha benedetto i vaccini ma secondo lei cattolica il papa sbaglia pensa come sono messo ,238
28954,2021-04-03 21:36:21,valy_s,covid19 liguria insegnante 32enne in t i trombosi ed emorragia cerebrale grave vaccinata il 22 03 1 perche si vaccinano persone di 30 anni una persona giovane e sana rischia di piu col vaccino che col covid 2 questi casi al momento non correlati cominciano ad essere tanti ,230
21928,2021-04-16 18:38:46,marcellolyotard,se non ve ne foste accorti nessuno dice che in un modo qualsiasi si tornera ad una vita normale nemmeno coi vaccini e s e tornati ad una vita normale pure dopo la spagnola e la peste nera e senza nessun vaccino del ciufolo se non capite nemmeno cosi che qualcosa non quadra,225
19518,2021-04-28 15:10:02,giacomogorini,un altra differenza fra i vaccini riguarda quelle rarissime trombosi che sono state viste con az ma non con pf e plausibile immaginarsi che queste siano causate dal tipo di vaccino limitandolo alle fasce piu in la con gli anni pero il problema e risolto ,222
27850,2021-04-06 15:50:36,byoblu,esiste un legame invisibile che unisce il piu grande social network ai vaccini contro il covid 19 recentemente commercializzati potrebbe pero esserci un conflitto di interesse dietro questa particolare attenzione di facebook al vaccino byoblu24 ,217
25910,2021-04-08 23:28:13,borghi_claudio,primo limite la sentenza parla di vaccini riconosciuti come efficaci e sicuri dalla comunita scientifica il concetto e scivoloso ma si riferisce chiaramente ai classici vaccini infantili quindi dubito proprio che si possa estendere la definizione al vaccino covid gt gt gt ,214
29246,2021-04-03 06:40:04,doluccia16,esattamente a che cifra devono arrivare i morti per trombosi dopo il vaccino per essere considerati ancora nella statistica delle casualita ,212
25267,2021-04-10 11:09:21,fasulo_antonio,dosi di vaccino somministrate nella giornata di ieri nei paesi europei germania 656 357 spagna 453 682 francia 437 000 italia 277 869 ma il generale buttiglione non aveva promesso 500mila al giorno figliuolo vaccini covid_19,207
19797,2021-04-26 23:04:02,robertoburioni, scusa ma il vaccino di cuba e un qualcosa di cui non si conosce efficacia e sicurezza per cui e come parlare del nulla l emergenza sanitaria in india richiede istantaneamente ossigeno piu che vaccini ,206
25904,2021-04-08 23:39:50,sabrimaggioni,olanda norvegia danimarca sospendono astrazeneca italia aumenta acquisto dosi dopo la confermata correlazione tra i casi di trombosi ed il vaccino il nostro paese va avanti a testa bassa speranza ed il suo codazzo sono responsabili di danni arrecati alla salute degli italiani,202
23388,2021-04-13 21:49:21,minervamcgrani1, e pericoloso mentre i 10 vaccini della lorenzin sono sicuri se aveste seguito la cronaca degli ultimi anni avreste capito molte cose ma riguardava solo i bimbi quindi a voi non interessava,201
19443,2021-04-29 08:21:34,doluccia16,continuano i morti e feriti dopo i vaccini volevo sapere dai professoroni come si fa a stabilire come ragazzi nella 20ina morendo con una trombosi dopo il vaccino sarebbero morti lo stesso per trombosi anche senza vaccino stessa domanda per 30enni e via di li ,191
22644,2021-04-14 23:55:05,catiamamone,comunque e piu probabile che ti venga una trombosi utilizzando autocad che facendo il vaccino ,191
25975,2021-04-08 21:22:13,fabriziodelpret, astrazeneca e valido anche piu di altri il problema costa solo 2 5 euro quindi e un disturbatore di mercato c e piu rischio di trombosi volando in aereo che con il vaccino crisanti microbiologo accademico e divulgatore scientifico e adesso zitti grazie covid19,188
19676,2021-04-27 15:26:14,giovaquez,da domani mattina verranno distribuiti 2 2 milioni di dosi di vaccino pfizer alle regioni il lotto di pfizer e il piu consistente in assoluto tra quelli approvvigionati dall inizio della campagna e portera a oltre 22 4 milioni la cifra dei vaccini finora consegnati covid_19,187
28134,2021-04-06 09:35:39,antonio_bordin,ema e costretta ad ammettere la verita il vaccino astrazeneca e la causa delle trombosi che hanno colpito i vaccinati segnatevi i nomi dei finti scienziati che per da un mese raccontano menzogne criminali su nessunacorrelazione meritano una vacanza a vita in un gulag ,187
24052,2021-04-13 13:08:45,ruffino_lorenzo,negli stati uniti stanno fermando la somministrazione del vaccino johnson amp johnson ci sono state sei casi di trombosi venosa cerebrale su sette milioni di dosi somministrate si tratta di sei donne tra i 18 e i 48 anni una e morta e una e in condizioni critiche ,185
24626,2021-04-11 19:06:47,mediasettgcom24,covid l appello dei medici accettate qualsiasi vaccino vi venga proposto vaccini ,177
22556,2021-04-15 09:41:15,praesesmundi,figliuolo mai nella storia dell uomo si era riusciti a produrre in cosi poco tempo un vaccino ma soprattutto si e iniettato in pochissimo tempo decine di milioni di dosi di vaccini senza saperne l esito se non quello sperimentale ,170
27074,2021-04-07 16:57:44,michelamarzano,oggi la mia mamma ha ricevuto la prima dose di vaccino e sono fiera ha fatto tutto da sola e felicissima anche se lontana grazie a e l ottima organizzazione per i vaccini delle persone anziane nella regione lazio ,169
25978,2021-04-08 21:14:11,autoportante_,no la domanda e un altra che coscienza ha avuto chi ha fatto il piano vaccini autorizzando la persona giovane a fare il vaccino prima dell 80enne facile sparare sul singolo ma se il singolo l ha fatto e perche qualcuno gliel ha permesso,168
25248,2021-04-10 11:42:32,cartabellotta,repetita iuvant ma priorita per anziani e fragili era gia obiettivo piano vaccini unica news e utilizzo prevalente vaccino astrazeneca verosimile refuso nell ultima frase dovranno e non potranno perche completamento ciclo vaccinale non e opzionale figliuolo,167
19460,2021-04-28 23:11:45,misurelli77,vaccino sputnik contiene adenovirus capace di replicarsi burioni problema grave ecco perche i politici non dovrebbero straparlare di vaccini e scienza c e in gioco la salute di milioni di cittadini l ex ministro degli interni non e un medico deve fare il politico se n e capace ,163
28244,2021-04-05 21:08:33,genevievestufa,non mi fate pena siete sani e a fronte di una malattia da cui si guarisce al 99 rischiate una trombosi e danni collaterali gravissimi facendovi un inutile vaccino siete stupidi,161
28591,2021-04-05 05:35:08,libero_official,trombosi dopo il vaccino astrazeneca e morta la professoressa di 32 anni di genova donne e giovani sileri accende i fari sulla complicanza del siero anglo svedese ,160
21263,2021-04-19 16:35:23,myrtamerlino,600 novax ieri a bergamo citta simbolo del covid19 per il no paura day frasi incredibili come nei vaccini cellule di feti abortiti o il papa si e vaccinato con acqua distillata fino il vaccino per sterminare gli anziani condanna ferma amarezza e tanto disgusto ,157
27175,2021-04-07 16:18:47,ladyonorato,conclusioni della conferenza stampa di ema sui rischi del vaccino astrazeneca le trombosi cerebrali fatali sono molto rari effetti collaterali del vaccino verra aggiornato il bugiardino ,156
26171,2021-04-08 15:15:31,brunonanniclibe,le nazioni nel mondo hanno investito miliardi per i vaccini a l italia era stata richiesta la somma di 70milioni per la ricerca e produzione del vaccino il governo conte ha risposto no oggi siamo senza vaccini ancora conte e tra i preferiti valli a capire gli italiani ,153
22033,2021-04-16 13:17:31,gianlucac1,la cautela che ci vuole no non e terrorismo sono i dati 3d ricordate i tweets e gli studi i vaccini in israele sono efficaci al 110 dopo 1 dose anzi basta guardare un vaccino e sei a posto 1 n,149
26006,2021-04-08 20:49:36,karm3nb, ci saranno le varianti vaccini adattati dovremo continuare a vaccinarci negli anni a venire il vaccino non vi rendera liberi lo sta dicendo chiaramente ve lo dice proprio in faccia come si fa a non capire ,146
29215,2021-04-03 09:08:54,davidefalchieri,ma non c e una violazione della privacy in merito alla questione obbligo vaccini per i sanitari cioe uno si rifiuta di fare il vaccino e qualcun altro in pratica lo denuncia spiattellando ai quattro venti una questione sanitaria strettamente legata al singolo  mah,146
22551,2021-04-15 09:47:52,marcell77640487,quindi prima dico che ci salveremo col vaccino poi rendo la risorsa salvifica scarsa infine dico che posso riaprire a seconda del numero dei vaccini che faro ooooh lo capite che questi pazzi ci vogliono tenere chiusi a vita e ogni giorno se ne inventano una riaperture,145
25730,2021-04-09 11:27:42,fenice_risorta,chi sa se andreaorlandosp e tutti gli altri ministri fossero al corrente del rifiuto di conte che con 70milioni in due trance l italia poteva diventare comproprietaria del vaccino astrazeneca avere vaccini in quantita e fare l affare del secolo ,145
22104,2021-04-16 09:48:10,doluccia16,mai nella storia dell uomo si era riusciti a produrre in cosi poco tempo un vaccino ma soprattutto si e iniettato in pochissimo tempo decine di milioni di dosi di vaccini senza saperne l esito se non quello sperimentale generale figliuolo mah ,142
26583,2021-04-08 07:29:39,sarabanda_,sul vaccino astrazeneca nn e la scienza che decide ma la politica e cosi molti paesi europei seguono le germania e si utilizza solo dopo i 60 anni mentre per l ema nn ci sono limiti di eta cosi e caos vaccini cosa di cui nn si sentiva il bisogno e che pagheremo a caro prezzo ,141
22043,2021-04-16 12:40:50,antoniosocci1,la prof ssa marcucci universita di firenze pare aver individuato una probabile relazione fra vaccino astrazeneca e rarissimi casi di trombosi ma spiega che c e una cura per queste eventuali reazioni avverse non mi pare una notizia trascurabile ,141
25821,2021-04-09 09:04:48,colecisti,ma con quale autorita un giovane si presenta e dice fatemi il vaccino e glielo fanno ma questi vivono nel mondo delle favole per favore incolpate chi ha il potere davvero per dirottare i vaccini su altri the unprofessionalism sul serio,139
25524,2021-04-09 17:45:14,giacomogorini,usciti due articoli che identificherebbero un meccanismo immunologico di queste trombosi gt rarissime lt correlate al vaccino az sono sicuro che presto arriveranno dati che potranno informare circa la probabilita che cio si verifichi anche con altri vaccini a vettore virale ,137
29696,2021-04-01 18:29:21,rrobitt2011,riepilogo situazione covid e vaccini 1 e epidemia non pandemia 2 non c e urgenza 3 non servono farmaci sperimentali cd vado 4 ci sono le cure 5 ritirare i farmaci non sperimentati a mestiere 6 il vaccino viola la dignita u art 32 7 l obbligo e incostituzionale,137
25957,2021-04-08 21:45:26,doluccia16,quante persone di 30 anni conoscete che sono morte di trombosi senza il vaccino astrazeneca ditelo a galli a bassetti ed a tutta la banda bassotti  drittoerovescio,136
29692,2021-04-01 18:34:54,liliaragnar,trombosi dopo il vaccino carabiniere avvia azione legale  ,136
23454,2021-04-13 20:38:56,gabbb_ser, ehi astrazeneca e johnson amp johnson entrambi basati su un vettore virale ad adenovirus hanno mostrato correlazione con rarissimi eventi di trombosi ma sono comunque riconosciuti come sicuri ed efficaci idea perche non compriamo un altro vaccino basato sulla stessa tecnologia,134
20959,2021-04-20 18:25:21,biologiscienza,efficacia nel prevenire l infezione pensiamoci bene se possiamo permetterci il lusso di non usare questo vaccino perche in un caso su un milione da trombosi un fenomeno che si verifica in paziente covid su sette ,133
23231,2021-04-14 07:47:12,piercamillo,6 casi di trombosi sospetta su 7 milioni di persone vaccinate con johnsonandjohnson negli usa rallentare una campagna vaccinale sospendendo o rallentando la diffusione del vaccino quanti morti in piu determina il principio di precauzione diventa letale quanto il virus cosi ,131
24697,2021-04-11 16:07:07,michele_anzaldi,padellaro sul fatto parla dell arte di scusarsi attacca renzi e salvini parlando di sindrome di fonzie e pretende scuse da draghi sui vaccini peccato si dimentichi del suo collega scanzi che non e riuscito a scusarsi per il vaccino saltafila o forse scanzie direbbe grillo ,129
21059,2021-04-20 16:23:02,ruffino_lorenzo,come era facilmente prevedibile l ema ha detto che le trombosi possono essere degli effetti collaterali molto rari del vaccino johnson amp johnson e che i benefici sono maggiori dei rischi ,129
21737,2021-04-17 14:14:34,mr_ozymandias,c e chi suggerisce l uso di mezza dose di vaccino astrazeneca per prevenire il rischio di trombosi e altri che invece pensano di abbinarlo con altri vaccini che dire fortunatamente siete voi quelli che si definiscono scienziati ,128
27753,2021-04-06 18:43:38,cartabellotta,obiettivo 500 mila somministrazioni die raggiungibile se rispetto consegna dosi vaccino in maniera costante risoluzione criticita organizzative es sindrome del weekend adesione costante nel tempo della popolazione alla campagna vaccini ,126
25171,2021-04-10 14:21:14,marcorizzopc,roma policlinico e in altre 40 citta a rivendicare la sanita pubblica unica soluzione la mobilitazione del partito comunista e del comitato contro il governo draghi sui vaccini preferiscono far morire 500 persone al giorno piuttosto che acquisire il vaccino russo o cinese ,125
23218,2021-04-14 08:09:35,mediasettgcom24,milano 26enne ricoverata con trombosi cerebrale dopo vaccino covid ,123
25259,2021-04-10 11:21:15,z3r0rules,non basta essere freevax bisogna vietare il vaccino anche a chi vuole farlo dottoressa bolgan i vaccini non risolveranno il problema anzi lo peggiorano perche portano allo sviluppo di nuove varianti avremo sempre nuove epidemie 1 2 ,123
